index,data
1,0.9984999999999999
2,1.1256
3,1.0676
4,1.1091
5,0.9808999999999999
6,1.3752
7,1.4092
8,1.3549
9,1.404
10,1.3152
11,1.6976
12,1.6733
13,1.6814
14,1.6599
15,1.6254000000000002
16,1.7556
17,1.7623000000000002
18,1.8311
19,1.8257
20,1.7601
21,1.7667000000000002
22,1.7164000000000001
23,1.7396999999999998
24,1.7481000000000002
25,1.675
26,1.6306999999999998
27,1.6442
28,1.6435
29,1.6707999999999998
30,1.5439
31,1.5002
32,1.4798
33,1.49
34,1.4765000000000001
35,1.4271
36,1.2151999999999998
37,1.1929
38,1.1634
39,1.1374
40,0.8318
41,0.7478
42,0.7532
43,0.7614
44,0.4931
45,0.4383
46,0.454
47,0.246
48,0.23090000000000002
49,0.21549999999999997
50,1.1026
51,1.109
52,1.221
53,1.2348000000000001
54,1.1805999999999999
55,1.1023999999999998
56,1.5058
57,1.4654
58,1.5893000000000002
59,1.6190000000000002
60,1.4912
61,1.4922
62,1.7932
63,1.7871
64,1.7917
65,1.8329
66,1.6765
67,1.7208999999999999
68,1.8402
69,1.8167000000000002
70,1.7986
71,1.8561
72,1.8693000000000002
73,1.6965
74,1.7722000000000002
75,1.8204
76,1.7899999999999998
77,1.7841
78,1.7315999999999998
79,1.7382000000000002
80,1.6952000000000003
81,1.6671
82,1.5977999999999999
83,1.6374
84,1.6822
85,1.5771000000000002
86,1.6113
87,1.4825
88,1.4235
89,1.4924
90,1.4186999999999999
91,1.466
92,1.2397
93,1.1505
94,1.1481999999999999
95,1.0492000000000001
96,1.1106
97,1.0781
98,0.8273999999999999
99,0.7631
100,0.71
101,0.7179
102,0.7051000000000001
103,0.5153
104,0.4003
105,0.40190000000000003
106,0.3829
107,0.3748
108,0.24380000000000002
109,0.2102
110,0.1896
111,0.178
112,0.1603
113,1.2797
114,1.2867000000000002
115,1.1938
116,1.3108
117,1.3671
118,1.1611
119,1.2982
120,1.527
121,1.6395
122,1.5218
123,1.6315000000000002
124,1.6412
125,1.5576
126,1.4996
127,1.7914
128,1.9082999999999999
129,1.8668
130,1.9162
131,1.8268999999999997
132,1.746
133,1.7297
134,1.8462
135,1.9268999999999998
136,1.8468
137,1.8758
138,1.764
139,1.7746
140,1.7411999999999999
141,1.8417999999999999
142,1.8628
143,1.86
144,1.8170000000000002
145,1.7459
146,1.6513000000000002
147,1.7645
148,1.7422999999999997
149,1.5788
150,1.6565
151,1.6372
152,1.5701
153,1.5032
154,1.5134
155,1.4817
156,1.6099
157,1.5132999999999999
158,1.3884
159,1.4257
160,1.3594
161,1.2941
162,1.2125
163,1.2069
164,1.1377000000000002
165,1.0877000000000001
166,1.0054
167,0.9982
168,0.8025
169,0.6997
170,0.7066
171,0.6787
172,0.637
173,0.6436
174,0.4822
175,0.4126
176,0.40380000000000005
177,0.3626
178,0.369
179,0.314
180,0.2166
181,0.1863
182,0.1764
183,0.162
184,0.1424
185,1.2977
186,1.3554
187,1.2585000000000002
188,1.5035
189,1.3568
190,1.2692
191,1.3066
192,1.6034
193,1.7698
194,1.7085000000000001
195,1.5211999999999999
196,1.6018999999999999
197,1.5783
198,1.5215999999999998
199,2.0
200,2.0312
201,1.9654
202,1.8725999999999998
203,1.9739999999999998
204,1.8740999999999999
205,1.7277999999999998
206,1.9022999999999999
207,1.9785
208,1.9538
