index,data
1,1.2278
2,1.2571
3,1.5166
4,1.446
5,1.1808
6,1.3722
7,1.3618
8,1.4457
9,1.6003
10,1.5402
11,1.3805
12,1.4177
13,1.4244
14,1.5256
15,1.5654
16,1.5362
17,1.2806
18,1.2774
19,1.3363
20,1.3185
21,1.4574
22,1.3788
23,1.1841
24,1.1059
25,1.1721
26,1.1914
27,1.1407
28,1.1604
29,1.1012
30,1.042
31,1.0172
32,0.9968
33,1.0525
34,0.9719
35,0.8922
36,0.853
37,0.906
38,0.881
39,0.7723
40,0.7853
41,0.6887
42,0.6593
43,0.6415
44,0.6519
45,0.6019
46,0.6018
47,0.4308
48,0.4206
49,0.3942
50,0.3488
51,0.3319
52,0.2884
53,0.2571
54,0.2515
55,0.2058
56,0.1893
57,0.2015
58,0.1414
59,0.1446
60,0.1213
61,0.1164
62,0.092
63,0.0824
64,0.0758
65,1.2278
66,1.2571
67,1.5166
68,1.446
69,1.1808
70,1.3722
71,1.3618
72,1.4457
73,1.6003
74,1.5402
75,1.3805
76,1.4177
77,1.4244
78,1.5256
79,1.5654
80,1.5362
81,1.2806
82,1.2774
83,1.3363
84,1.3185
85,1.4574
86,1.3788
87,1.1841
88,1.1059
89,1.1721
90,1.1914
91,1.1407
92,1.1604
93,1.1012
94,1.042
95,1.0172
96,0.9968
97,1.0525
98,0.9719
99,0.8922
100,0.853
101,0.906
102,0.881
103,0.7723
104,0.7853
105,0.6887
106,0.6593
107,0.6415
108,0.6519
109,0.6019
110,0.6018
111,0.4308
112,0.4206
113,0.3942
114,0.3488
115,0.3319
116,0.2884
117,0.2571
118,0.2515
119,0.2058
120,0.1893
121,0.2015
122,0.1414
123,0.1446
124,0.1213
125,0.1164
126,0.092
127,0.0824
128,0.0758
