,data
0,3.8563017649954325
1,4.342341071270645
2,4.643033836468078
3,4.860957174645005
4,5.032111061294967
5,5.173321501604359
6,5.293685142371908
7,5.3987603065219325
8,5.492088356863343
9,5.576118941176955
10,5.652630073095521
11,5.722897568867557
12,5.7878652194861475
13,5.848326551248427
14,5.904906024921244
15,5.95809141208825
16,6.008280057078007
17,6.055801703853698
18,6.10086313971605
19,6.143786993963591
20,3.1561361628622615
21,3.4735290788018833
22,3.666231474973707
23,3.804127496284897
24,3.911177471301332
25,3.998493117486137
26,4.072084148229847
27,4.135631913555805
28,4.191508504364
29,4.241363152468573
30,4.286383364578781
31,4.327430738292048
32,4.365158642031237
33,4.400075204308422
34,4.432591395092704
35,4.463027418352901
36,4.49164322682937
37,4.518654363419846
38,4.544238343442846
39,4.568544728791849
40,2.549188095471089
41,2.7454600195923744
42,2.8619169910368147
43,2.944046512271139
44,3.007128372627263
45,3.058145818381983
46,3.1008518832574468
47,3.137504790112234
48,3.1695530360020507
49,3.1979884930775686
50,3.223518765832414
51,3.2466614901802613
52,3.267809124502875
53,3.2872658444277674
54,3.305273002381924
55,3.3220232349844716
56,3.337673978007113
57,3.3523558523766104
58,3.366178198165958
59,3.379233766890045
60,2.0572554110861927
61,2.169686411918504
62,2.2341458557700333
63,2.2786229867884296
64,2.312243587609471
65,2.339087969671941
66,2.3613283830561
67,2.380242750588572
68,2.396655515240946
69,2.4111196737020615
70,2.424023567048696
71,2.4356553979107862
72,2.4462317783925283
73,2.4559187024744173
74,2.464843813570567
75,2.4731117168031798
76,2.4808076336535576
77,2.4880015672621187
78,2.4947516825624496
79,2.5011068048295435
80,1.6938626843586448
81,1.7477012785208348
82,1.776694324655006
83,1.7958944897873699
84,1.809968609049747
85,1.82092599350328
86,1.8298190333955673
87,1.8372423621450775
88,1.8435838008305097
89,1.8490939576585574
90,1.8539436388583868
91,1.8582632001998438
92,1.8621492189120927
93,1.8656739465857617
94,1.8688893187951212
95,1.8718403650194992
96,1.874563821128835
97,1.8770895588036458
98,1.8794421602960367
99,1.8816420710047468
100,1.421233407412531
101,1.4320270852064183
102,1.4359486849611258
103,1.4377075083317548
104,1.4385287516702245
105,1.4388637504053117
106,1.4389316165551977
107,1.4388315768295084
108,1.4386326571498234
109,1.438369920046549
110,1.4380618822382312
111,1.4377264949673099
112,1.4373756174855856
113,1.4370163076828746
114,1.4366498271534298
115,1.4362800268628666
116,1.4359101068373767
117,1.43554234496959
118,1.4351783665652755
119,1.4348193196492893
120,1.1453864234656268
121,1.125939958744138
122,1.113303627267931
123,1.1039678893841456
124,1.0965802071298234
125,1.090473320950475
126,1.0852769227598156
127,1.0807552331087813
128,1.076758153525697
129,1.073178324246941
130,1.0699367065238707
131,1.0669768187106012
132,1.0642551865411525
133,1.0617372855058118
134,1.0593941907708782
135,1.0572037370747038
136,1.055147870242204
137,1.0532115427161342
138,1.0513820817074546
139,1.0496487154659078
140,0.8328696885117552
141,0.7987993925890757
142,0.778775734559573
143,0.7647630110944048
144,0.7540653131735147
145,0.7454575905384633
146,0.7382815047130709
147,0.7321456248177967
148,0.7267967614205442
149,0.722063658402841
150,0.7178252462548578
151,0.7139917958988977
152,0.7104955925874179
153,0.7072844781224001
154,0.7043179187322318
155,0.7015628945549545
156,0.6989924722814802
157,0.6965844693344672
158,0.6943204079074654
159,0.6921847404644869
160,0.5096805050935197
161,0.4765035143151034
162,0.4578036788328582
163,0.44503614180894746
164,0.43545470666408204
165,0.4278471618969405
166,0.4215701465182021
167,0.4162513307435064
168,0.4116484667535301
169,0.4076014319488574
170,0.4039990363604456
171,0.4007575852437435
172,0.3978144619394556
173,0.395122086102236
174,0.39264477368281736
175,0.3903526048236008
176,0.38822116218474256
177,0.3862304471336051
178,0.3843638870685909
179,0.382607604793578
180,0.24633987835515503
181,0.2232894417735804
182,0.2108575147619923
183,0.2025799125702399
184,0.1964732419371879
185,0.1916874718517831
186,0.18777822432459823
187,0.18449435119585167
188,0.1816723159154967
189,0.17920609475227062
190,0.17702320968753732
191,0.1750685584614165
192,0.17330123984486523
193,0.1716905290672638
194,0.17021404690299582
195,0.16885261030139925
196,0.16759057022806337
197,0.1664151732529155
198,0.1653159000766245
199,0.16428398091219937
200,0.08388704478524808
201,0.07257490612991435
202,0.06689655967316428
203,0.06325919193972418
204,0.06064292193096989
205,0.05863041594630591
206,0.057009550098244356
207,0.05566392393749724
208,0.05451841330011405
209,0.05352537102580174
210,0.05265282240659745
211,0.05187637700188734
212,0.051178117024856015
213,0.05054475551488328
214,0.049966885435691485
215,0.04943630674984943
216,0.04894634648843908
217,0.04849160039186255
218,0.04806763676193429
219,0.047670780932974215
