index,data
1,0.799
2,0.795
3,0.785
4,0.77
5,0.792
6,0.856
7,1.057
8,1.439
9,-
10,-
11,-
12,-
13,-
14,-
15,-
16,-
17,0.588
18,0.781
19,0.868
20,0.949
21,1.08
22,1.233
23,1.381
24,1.394
25,1.601
26,1.579
27,1.297
28,1.0
29,-
30,-
31,-
32,-
33,-
34,0.834
35,0.854
36,1.004
37,1.183
38,1.345
39,1.357
40,1.338
41,1.349
42,1.319
43,1.378
44,1.599
45,1.376
46,-
47,-
48,-
49,-
50,-
51,-
52,1.09
53,1.205
54,1.229
55,1.142
56,1.056
57,1.108
58,1.171
59,1.259
60,1.331
61,1.125
62,-
63,-
64,-
65,-
66,-
67,-
68,1.005
69,1.073
70,1.095
71,1.15
72,1.131
73,1.125
74,1.167
75,1.122
76,1.201
77,1.045
78,0.992
79,-
80,-
81,-
82,-
83,-
84,0.821
85,0.765
86,0.791
87,0.88
88,0.966
89,1.01
90,0.943
91,0.912
92,0.871
93,0.891
94,0.931
95,0.841
96,-
97,-
98,-
99,-
100,-
101,-
102,0.607
103,0.659
104,0.669
105,0.648
106,0.617
107,0.55
108,0.55
109,0.54
110,0.579
111,0.548
112,0.427
113,-
114,-
115,-
116,-
117,-
118,-
119,0.05
120,0.568
121,0.476
122,0.4
123,0.373
124,0.363
125,0.344
126,0.311
127,0.296
128,0.229
129,-
130,-
131,-
132,-
133,-
134,-
135,-
136,-
137,0.356
138,0.271
139,0.228
140,0.215
141,0.229
142,0.199
143,0.147
144,0.139
145,-
146,-
147,-
148,-
149,-
150,-
151,-
152,-
153,0.075
154,0.05
155,0.036
156,0.049
157,0.035
158,0.034
159,0.023
160,0.016
