index,data
1,-
2,-
3,-
4,-
5,-
6,-
7,-
8,-
9,0.313
10,0.529
11,-
12,-
13,-
14,-
15,0.498
16,0.659
17,0.769
18,0.75
19,-
20,-
21,-
22,-
23,0.374
24,0.547
25,1.023
26,1.001
27,0.773
28,0.537
29,-
30,-
31,0.512
32,0.661
33,0.767
34,0.86
35,0.699
36,0.298
37,0.257
38,-
39,0.715
40,0.851
41,0.812
42,0.585
43,0.384
44,0.207
45,0.087
46,0.883
47,0.829
48,0.682
49,0.365
50,0.176
51,0.093
52,0.941
53,0.691
54,0.684
55,0.405
56,0.206
57,0.078
