index,data
1,0.1744
2,0.2482
3,0.2076
4,0.3155
5,0.3398
6,0.3448
7,0.2962
8,0.3591
9,0.3957
10,0.4539
11,0.4823
12,0.5941
13,0.4562
14,0.5495
15,0.6133
16,0.6478
17,0.7249
18,0.6371
19,0.5793
20,0.6755
21,0.7509
22,0.7823
23,0.7897
24,0.8431
25,0.7335
26,0.6721
27,0.7554
28,0.8047
29,0.8298
30,0.8352
31,0.7165
32,0.6923
33,0.6982
34,0.8044
35,0.7749
36,0.7768
37,0.7911
38,0.7128
39,0.6773
40,0.7368
41,0.7091
42,0.7297
43,0.7034
44,0.582
45,0.6051
46,0.5819
47,0.5753
48,0.5781
49,0.5391
50,0.3814
51,0.4037
52,0.3962
53,0.363
54,0.3338
55,0.3234
56,0.2604
57,0.2327
58,0.2138
59,0.2038
60,0.1898
61,0.1767
62,0.1325
63,0.1262
64,0.1008
65,0.0928
66,0.0803
67,0.0725
