index,data
1,0.7855
2,0.9116
3,1.0449
4,1.1789
5,1.2201
6,1.2505
7,1.0459
8,1.1908
9,1.3191
10,1.3983
11,1.3728
12,1.2974
13,1.2053
14,1.3039
15,1.363
16,1.4266
17,1.3939
18,1.4333
19,1.2218
20,1.2995
21,1.3024
22,1.3028
23,1.3013
24,1.2884
25,1.1185
26,1.1752
27,1.2061
28,1.1984
29,1.1767
30,1.1504
31,1.1226
32,1.067
33,1.0695
34,1.044
35,1.0323
36,0.9997
37,1.0098
38,0.9735
39,0.9363
40,0.9275
41,0.9102
42,0.8453
43,0.831
44,0.7531
45,0.711
46,0.662
47,0.6338
48,0.6219
49,0.5809
50,0.4811
51,0.4363
52,0.406
53,0.3779
54,0.3438
55,0.3264
56,0.2949
57,0.2484
58,0.2253
59,0.2015
60,0.1811
61,0.1658
62,0.1558
63,0.1244
64,0.1035
65,0.0863
66,0.083
67,0.0673
