,x,Q2
,mid,mid
1,0.015,1.259
2,0.015,1.995
3,0.015,3.162
4,0.015,5.012
5,0.015,7.943
6,0.045,1.259
7,0.045,1.995
8,0.045,3.162
9,0.045,5.012
10,0.045,7.943
11,0.045,12.589
12,0.045,19.952
13,0.08,1.259
14,0.08,1.995
15,0.08,3.162
16,0.08,5.012
17,0.08,7.943
18,0.08,12.589
19,0.08,19.952
20,0.08,31.622
21,0.125,1.995
22,0.125,3.162
23,0.125,5.012
24,0.125,7.943
25,0.125,12.589
26,0.125,19.952
27,0.125,31.622
28,0.125,50.118
29,0.175,3.162
30,0.175,5.012
31,0.175,7.943
32,0.175,12.589
33,0.175,19.952
34,0.175,31.622
35,0.175,50.118
36,0.225,5.012
37,0.225,7.943
38,0.225,12.589
39,0.225,19.952
40,0.225,31.622
41,0.225,50.118
42,0.225,79.432
43,0.275,5.012
44,0.275,7.943
45,0.275,12.589
46,0.275,19.952
47,0.275,31.622
48,0.275,50.118
49,0.275,79.432
50,0.35,7.943
51,0.35,12.589
52,0.35,19.952
53,0.35,31.622
54,0.35,50.118
55,0.35,79.432
56,0.45,7.943
57,0.45,12.589
58,0.45,19.952
59,0.45,31.622
60,0.45,50.118
61,0.45,79.432
62,0.45,125.89
63,0.55,12.589
64,0.55,19.952
65,0.55,31.622
66,0.55,50.118
67,0.55,79.432
68,0.55,125.89
69,0.65,12.589
70,0.65,19.952
71,0.65,31.622
72,0.65,50.118
73,0.65,79.432
74,0.65,125.89
75,0.75,12.589
76,0.75,19.952
77,0.75,31.622
78,0.75,50.118
