,x,Q2
,mid,mid
1,0.015,0.18
2,0.015,0.28
3,0.015,0.41
4,0.015,0.62
5,0.015,0.91
6,0.015,1.38
7,0.015,2.04
8,0.015,3.1
9,0.015,4.6
10,0.015,6.9
11,0.015,10.2
12,0.015,15.5
13,0.015,22.9
14,0.015,34.7
15,0.015,51.0
16,0.015,78.0
17,0.045,0.18
18,0.045,0.28
19,0.045,0.41
20,0.045,0.62
21,0.045,0.91
22,0.045,1.38
23,0.045,2.04
24,0.045,3.1
25,0.045,4.6
26,0.045,6.9
27,0.045,10.2
28,0.045,15.5
29,0.045,22.9
30,0.045,34.7
31,0.045,51.0
32,0.045,78.0
33,0.08,0.18
34,0.08,0.28
35,0.08,0.41
36,0.08,0.62
37,0.08,0.91
38,0.08,1.38
39,0.08,2.04
40,0.08,3.1
41,0.08,4.6
42,0.08,6.9
43,0.08,10.2
44,0.08,15.5
45,0.08,22.9
46,0.08,34.7
47,0.08,51.0
48,0.08,78.0
49,0.125,0.18
50,0.125,0.28
51,0.125,0.41
52,0.125,0.62
53,0.125,0.91
54,0.125,1.38
55,0.125,2.04
56,0.125,3.1
57,0.125,4.6
58,0.125,6.9
59,0.125,10.2
60,0.125,15.5
61,0.125,22.9
62,0.125,34.7
63,0.125,51.0
64,0.125,78.0
65,0.175,0.18
66,0.175,0.28
67,0.175,0.41
68,0.175,0.62
69,0.175,0.91
70,0.175,1.38
71,0.175,2.04
72,0.175,3.1
73,0.175,4.6
74,0.175,6.9
75,0.175,10.2
76,0.175,15.5
77,0.175,22.9
78,0.175,34.7
79,0.175,51.0
80,0.175,78.0
81,0.25,0.18
82,0.25,0.28
83,0.25,0.41
84,0.25,0.62
85,0.25,0.91
86,0.25,1.38
87,0.25,2.04
88,0.25,3.1
89,0.25,4.6
90,0.25,6.9
91,0.25,10.2
92,0.25,15.5
93,0.25,22.9
94,0.25,34.7
95,0.25,51.0
96,0.25,78.0
97,0.35,0.18
98,0.35,0.28
99,0.35,0.41
100,0.35,0.62
101,0.35,0.91
102,0.35,1.38
103,0.35,2.04
104,0.35,3.1
105,0.35,4.6
106,0.35,6.9
107,0.35,10.2
108,0.35,15.5
109,0.35,22.9
110,0.35,34.7
111,0.35,51.0
112,0.35,78.0
113,0.45,0.18
114,0.45,0.28
115,0.45,0.41
116,0.45,0.62
117,0.45,0.91
118,0.45,1.38
119,0.45,2.04
120,0.45,3.1
121,0.45,4.6
122,0.45,6.9
123,0.45,10.2
124,0.45,15.5
125,0.45,22.9
126,0.45,34.7
127,0.45,51.0
128,0.45,78.0
129,0.55,0.18
130,0.55,0.28
131,0.55,0.41
132,0.55,0.62
133,0.55,0.91
134,0.55,1.38
135,0.55,2.04
136,0.55,3.1
137,0.55,4.6
138,0.55,6.9
139,0.55,10.2
140,0.55,15.5
141,0.55,22.9
142,0.55,34.7
143,0.55,51.0
144,0.55,78.0
145,0.8,0.18
146,0.8,0.28
147,0.8,0.41
148,0.8,0.62
149,0.8,0.91
150,0.8,1.38
151,0.8,2.04
152,0.8,3.1
153,0.8,4.6
154,0.8,6.9
155,0.8,10.2
156,0.8,15.5
157,0.8,22.9
158,0.8,34.7
159,0.8,51.0
160,0.8,78.0
