Name,Volcano,Latitude,Longitude,Vent elevation (m a.s.l.),date,Local start time,Start time (UTC),Duration (hours),VEI,Height (km a.v.l.),MER (kg/s)
Agung 1963,Agung,-8.342,115.508,3142,1963-03-17,5:32,1963-03-16 22:32,5,5,10,1625000
Bezymianny 1956,Bezymianny,55.978,160.587,2882,1956,,,0.5,5,40.5,575000000
Cerro Negro 1971,Cerro Negro,12.506,-86.702,728,1971-02-03,10:00,1971-02-03 16:00,144,3,6,87500
El Chichon March 1982,El Chichon,17.36,-93.228,1150,1982-03-29,,1982-03-29 05:32,4,5,26,68250000
"El Chichon April 1982, 01:35",El Chichon,17.36,-93.228,1150,1982-04-04,,1982-04-04 01:35,7,5,26,47000000
El Chichin April 1982 11:22,El Chichin,17.36,-93.228,1150,1982-04-04,,1982-04-04 11:22,5,5,26,37500000
Fuego 1971,Fuego,14.473,-90.88,3763,1971-09-14,14:45,1971-09-14 20:44,10,3,10,1600000
Heimaey 1973,Heimaey,63.43,-20.28,279,1973,,,,3,4.5,250000
Hekla 1970,Hekla,63.98,-19.7,1491,1970,,,2,3,14,8250000
Hekla 1947,Hekla,63.98,-19.7,1491,1947,,,0.5,4,27.6,62500000
Komagatake 1928,Komagatake,42.061,140.681,1131,1928,,,,1,13.9,39675000
Miyake 1983,Miyake,34.079,139.529,815,1983-10-3,15:15,1983-10-03 06:15,10,3,6,1425000
Pinatubo 1991,Pinatubo,15.13,120.35,1486,1991-06-15,,,1.3,6,34,1000000000
St. Helens July 1980,St. Helens,46.2,-122.18,2549,1980-07,,,,,6,5000000
St. Helens May 1980 (I),St. Helens,46.2,-122.18,2549,1980-05-18,,,2,,13.9,6300000
St. Helens May 1980 (II),St. Helens,46.2,-122.18,2549,1980-05-18,,,0.4,,16,13000000
St. Helens May 1980 (III),St. Helens,46.2,-122.18,2549,1980-05-18,,,6.9,,13.1,3900000
St. Helens May 1980 (IV),St. Helens,46.2,-122.18,2549,1980-05-18,,,0.75,,17.5,16000000
Nevado del Ruiz 1985,Nevado del Ruiz,4.895,-75.322,5321,1985,,,0.3,3,26.5,32500000
Ngauruhoe 1974,Ngauruhoe,-39.13,175.642,1978,1974,,,14,3,2.6,25000
Quizapu 1932,Quizapu,-35.653,-70.761,3788,1932,,,18,5,28.5,150000000
Santa Maria 1902,Santa Maria,14.756,-91.552,3772,1902,,,30,,28,137500000
Soufriere 1902,Soufriere,13.33,-61.18,1220,1902,,,3,,25,65000000
Usu 1977 (I),Usu,42.541,140.842,737,1977,,,,,12,8435000
Usu 1977 (II),Usu,42.541,140.842,737,1977,,,,,10,6250000
Usu 1977 (III),Usu,42.541,140.842,737,1977,,,,,10,9500000
Vesuvius 79 (I),Vesuvius,40.821,14.426,1281,79,,,11,,32,150000000
Vesuvius 79 (II),Vesuvius,40.821,14.426,1281,79,,,7,,26,85000000
