,x,Q2
,mid,mid
1,0.015,0.41
2,0.015,0.62
3,0.015,0.91
4,0.015,1.38
5,0.015,2.04
6,0.015,3.1
7,0.015,4.6
8,0.015,6.9
9,0.015,10.2
10,0.015,15.5
11,0.015,22.9
12,0.015,34.7
13,0.015,51.0
14,0.015,78.0
15,0.045,0.41
16,0.045,0.62
17,0.045,0.91
18,0.045,1.38
19,0.045,2.04
20,0.045,3.1
21,0.045,4.6
22,0.045,6.9
23,0.045,10.2
24,0.045,15.5
25,0.045,22.9
26,0.045,34.7
27,0.045,51.0
28,0.045,78.0
29,0.08,0.41
30,0.08,0.62
31,0.08,0.91
32,0.08,1.38
33,0.08,2.04
34,0.08,3.1
35,0.08,4.6
36,0.08,6.9
37,0.08,10.2
38,0.08,15.5
39,0.08,22.9
40,0.08,34.7
41,0.08,51.0
42,0.08,78.0
43,0.125,0.41
44,0.125,0.62
45,0.125,0.91
46,0.125,1.38
47,0.125,2.04
48,0.125,3.1
49,0.125,4.6
50,0.125,6.9
51,0.125,10.2
52,0.125,15.5
53,0.125,22.9
54,0.125,34.7
55,0.125,51.0
56,0.125,78.0
57,0.175,0.41
58,0.175,0.62
59,0.175,0.91
60,0.175,1.38
61,0.175,2.04
62,0.175,3.1
63,0.175,4.6
64,0.175,6.9
65,0.175,10.2
66,0.175,15.5
67,0.175,22.9
68,0.175,34.7
69,0.175,51.0
70,0.175,78.0
71,0.25,0.41
72,0.25,0.62
73,0.25,0.91
74,0.25,1.38
75,0.25,2.04
76,0.25,3.1
77,0.25,4.6
78,0.25,6.9
79,0.25,10.2
80,0.25,15.5
81,0.25,22.9
82,0.25,34.7
83,0.25,51.0
84,0.25,78.0
85,0.4,0.41
86,0.4,0.62
87,0.4,0.91
88,0.4,1.38
89,0.4,2.04
90,0.4,3.1
91,0.4,4.6
92,0.4,6.9
93,0.4,10.2
94,0.4,15.5
95,0.4,22.9
96,0.4,34.7
97,0.4,51.0
98,0.4,78.0
99,0.75,0.41
100,0.75,0.62
101,0.75,0.91
102,0.75,1.38
103,0.75,2.04
104,0.75,3.1
105,0.75,4.6
106,0.75,6.9
107,0.75,10.2
108,0.75,15.5
109,0.75,22.9
110,0.75,34.7
111,0.75,51.0
112,0.75,78.0
