name,stat,syst
treatment,ADD,ADD
type,UNCORR,CORR
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0661,0.0567
5,0.0592,0.0667
6,0.0718,0.0501
7,0.0601,0.0313
8,0.058,0.0404
9,0.065,0.0332
10,0.058,0.0524
11,0.0528,0.0441
12,0.0617,0.0319
13,0.053,0.0291
14,0.0479,0.0357
15,0.0557,0.0293
16,0.0508,0.0428
17,0.0497,0.0566
18,0.0624,0.0311
19,0.0566,0.0568
20,0.0519,0.0623
21,0.0526,0.0427
22,0.032,0.0126
23,0.0314,0.0199
24,0.0,0.0
25,0.0278,0.0124
26,0.0297,0.0206
27,0.0,0.0
28,0.0242,0.019
29,0.0154,0.0097
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0558,0.0259
38,0.0535,0.0137
39,0.0513,0.0257
40,0.0586,0.0366
41,0.0592,0.0416
42,0.0521,0.0249
43,0.0488,0.0182
44,0.0477,0.0311
45,0.055,0.0132
46,0.0538,0.0258
47,0.0471,0.0334
48,0.0439,0.0256
49,0.0398,0.0233
50,0.0458,0.0318
51,0.056,0.0477
52,0.0456,0.0324
53,0.0441,0.0308
54,0.0385,0.0144
55,0.0462,0.0292
56,0.0512,0.0285
57,0.042,0.0198
58,0.0404,0.0259
59,0.038,0.0093
60,0.0429,0.019
61,0.0511,0.0161
62,0.0383,0.0219
63,0.0389,0.0167
64,0.036,0.0103
65,0.0321,0.0168
66,0.0268,0.0092
67,0.0256,0.0055
68,0.0274,0.0179
69,0.0252,0.0108
70,0.023,0.0178
71,0.0216,0.0144
72,0.0,0.0
73,0.0211,0.0165
74,0.0174,0.0146
75,0.0186,0.014
76,0.0147,0.0059
77,0.0112,0.0098
78,0.0,0.0
79,0.0089,0.0033
80,0.0093,0.0061
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0461,0.024
87,0.0519,0.0258
88,0.051,0.0578
89,0.0503,0.0189
90,0.0488,0.035
91,0.0488,0.0409
92,0.0514,0.0302
93,0.0472,0.021
94,0.0445,0.0237
95,0.044,0.0162
96,0.041,0.0284
97,0.0459,0.0281
98,0.0432,0.0358
99,0.0395,0.0179
100,0.0388,0.023
101,0.0355,0.0157
102,0.044,0.0286
103,0.0411,0.0196
104,0.0383,0.0233
105,0.0349,0.0152
106,0.0332,0.0111
107,0.0422,0.0171
108,0.0382,0.0171
109,0.0354,0.0315
110,0.035,0.0136
111,0.0335,0.0208
112,0.0397,0.0238
113,0.0335,0.0125
114,0.0342,0.0142
115,0.0335,0.0101
116,0.0336,0.0199
117,0.0243,0.0137
118,0.0238,0.0152
119,0.0223,0.014
120,0.0217,0.0096
121,0.0,0.0
122,0.0208,0.0059
123,0.0186,0.006
124,0.0175,0.0035
125,0.019,0.0111
126,0.0,0.0
127,0.0144,0.0125
128,0.0167,0.0036
129,0.0139,0.0185
130,0.0111,0.0087
131,0.0104,0.0064
132,0.0132,0.0044
133,0.0062,0.0032
134,0.0068,0.0034
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0529,0.0286
141,0.0467,0.04
142,0.0537,0.031
143,0.0,0.0
144,0.0534,0.0446
145,0.055,0.0209
146,0.0517,0.0279
147,0.0492,0.047
148,0.0462,0.0166
149,0.0573,0.041
150,0.0726,0.0509
151,0.0511,0.014
152,0.0482,0.062
153,0.0443,0.0428
154,0.0435,0.0173
155,0.0414,0.0218
156,0.0496,0.0266
157,0.0676,0.0338
158,0.044,0.0196
159,0.0411,0.0299
160,0.0391,0.0262
161,0.0361,0.0155
162,0.0349,0.0173
163,0.0423,0.0125
164,0.0667,0.0481
165,0.0415,0.0215
166,0.0394,0.0288
167,0.0359,0.0193
168,0.0354,0.0087
169,0.031,0.0072
170,0.0384,0.0261
171,0.0648,0.0232
172,0.0394,0.021
173,0.0364,0.0394
174,0.0355,0.0151
175,0.033,0.0121
176,0.0309,0.0177
177,0.038,0.0179
178,0.0621,0.0674
179,0.0379,0.0205
180,0.0366,0.0154
181,0.0318,0.0185
