,type,tables,projectile,target,m_nucleon
0,F2,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0,20,1.0010066015149504
1,F3,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0,20,1.0010066015149504
