,x,Q2
,mid,mid
1,0.015,0.19
2,0.015,0.25
3,0.015,0.33
4,0.015,0.43
5,0.015,0.56
6,0.015,0.72
7,0.015,0.94
8,0.015,1.22
9,0.015,1.59
10,0.015,2.06
11,0.015,2.68
12,0.015,3.48
13,0.015,4.53
14,0.045,0.58
15,0.045,0.76
16,0.045,0.99
17,0.045,1.28
18,0.045,1.67
19,0.045,2.17
20,0.045,2.82
21,0.045,3.66
22,0.045,4.76
23,0.045,6.19
24,0.045,8.04
25,0.045,10.45
26,0.045,13.59
27,0.08,1.04
28,0.08,1.35
29,0.08,1.75
30,0.08,2.28
31,0.08,2.96
32,0.08,3.85
33,0.08,5.01
34,0.08,6.51
35,0.08,8.46
36,0.08,11.0
37,0.08,14.3
38,0.08,18.59
39,0.08,24.16
40,0.125,1.62
41,0.125,2.11
42,0.125,2.74
43,0.125,3.56
44,0.125,4.63
45,0.125,6.02
46,0.125,7.82
47,0.125,10.17
48,0.125,13.22
49,0.125,17.18
50,0.125,22.34
51,0.125,29.04
52,0.125,37.75
53,0.175,2.27
54,0.175,2.95
55,0.175,3.83
56,0.175,4.98
57,0.175,6.48
58,0.175,8.42
59,0.175,10.95
60,0.175,14.24
61,0.175,18.51
62,0.175,24.06
63,0.175,31.28
64,0.175,40.66
65,0.175,52.86
66,0.225,2.92
67,0.225,3.79
68,0.225,4.93
69,0.225,6.41
70,0.225,8.33
71,0.225,10.83
72,0.225,14.08
73,0.225,18.3
74,0.225,23.79
75,0.225,30.93
76,0.225,40.21
77,0.225,52.27
78,0.225,67.96
79,0.275,3.56
80,0.275,4.63
81,0.275,6.03
82,0.275,7.83
83,0.275,10.18
84,0.275,13.24
85,0.275,17.21
86,0.275,22.37
87,0.275,29.08
88,0.275,37.81
89,0.275,49.15
90,0.275,63.89
91,0.275,83.06
92,0.35,4.54
93,0.35,5.9
94,0.35,7.67
95,0.35,9.97
96,0.35,12.96
97,0.35,16.85
98,0.35,21.9
99,0.35,28.47
100,0.35,37.01
101,0.35,48.12
102,0.35,62.55
103,0.35,81.32
104,0.35,105.7
105,0.45,5.83
106,0.45,7.58
107,0.45,9.86
108,0.45,12.82
109,0.45,16.66
110,0.45,21.66
111,0.45,28.16
112,0.45,36.61
113,0.45,47.59
114,0.45,61.86
115,0.45,80.42
116,0.45,104.5
117,0.45,135.9
118,0.55,7.13
119,0.55,9.27
120,0.55,12.05
121,0.55,15.66
122,0.55,20.36
123,0.55,26.47
124,0.55,34.42
125,0.55,44.74
126,0.55,58.16
127,0.55,75.61
128,0.55,98.29
129,0.55,127.8
130,0.55,166.1
131,0.65,8.43
132,0.65,10.95
133,0.65,14.24
134,0.65,18.51
135,0.65,24.07
136,0.65,31.29
137,0.65,40.67
138,0.65,52.87
139,0.65,68.74
140,0.65,89.36
141,0.65,116.2
142,0.65,151.0
143,0.65,196.3
