,x,Q2,y
0,mid,mid,mid
1,0.0015,11.65,0.2
2,0.0015,11.65,0.8
3,0.0015,37.87894736842105,0.2
4,0.0015,37.87894736842105,0.8
5,0.0015,64.10789473684211,0.2
6,0.0015,64.10789473684211,0.8
7,0.0015,90.33684210526317,0.2
8,0.0015,90.33684210526317,0.8
9,0.0015,116.56578947368422,0.2
10,0.0015,116.56578947368422,0.8
11,0.0015,142.79473684210527,0.2
12,0.0015,142.79473684210527,0.8
13,0.0015,169.02368421052634,0.2
14,0.0015,169.02368421052634,0.8
15,0.0015,195.2526315789474,0.2
16,0.0015,195.2526315789474,0.8
17,0.0015,221.48157894736843,0.2
18,0.0015,221.48157894736843,0.8
19,0.0015,247.71052631578948,0.2
20,0.0015,247.71052631578948,0.8
21,0.0015,273.9394736842105,0.2
22,0.0015,273.9394736842105,0.8
23,0.0015,300.1684210526316,0.2
24,0.0015,300.1684210526316,0.8
25,0.0015,326.39736842105265,0.2
26,0.0015,326.39736842105265,0.8
27,0.0015,352.62631578947367,0.2
28,0.0015,352.62631578947367,0.8
29,0.0015,378.85526315789474,0.2
30,0.0015,378.85526315789474,0.8
31,0.0015,405.08421052631576,0.2
32,0.0015,405.08421052631576,0.8
33,0.0015,431.31315789473683,0.2
34,0.0015,431.31315789473683,0.8
35,0.0015,457.5421052631579,0.2
36,0.0015,457.5421052631579,0.8
37,0.0015,483.7710526315789,0.2
38,0.0015,483.7710526315789,0.8
39,0.0015,510.0,0.2
40,0.0015,510.0,0.8
41,0.00366,11.65,0.2
42,0.00366,11.65,0.8
43,0.00366,37.87894736842105,0.2
44,0.00366,37.87894736842105,0.8
45,0.00366,64.10789473684211,0.2
46,0.00366,64.10789473684211,0.8
47,0.00366,90.33684210526317,0.2
48,0.00366,90.33684210526317,0.8
49,0.00366,116.56578947368422,0.2
50,0.00366,116.56578947368422,0.8
51,0.00366,142.79473684210527,0.2
52,0.00366,142.79473684210527,0.8
53,0.00366,169.02368421052634,0.2
54,0.00366,169.02368421052634,0.8
55,0.00366,195.2526315789474,0.2
56,0.00366,195.2526315789474,0.8
57,0.00366,221.48157894736843,0.2
58,0.00366,221.48157894736843,0.8
59,0.00366,247.71052631578948,0.2
60,0.00366,247.71052631578948,0.8
61,0.00366,273.9394736842105,0.2
62,0.00366,273.9394736842105,0.8
63,0.00366,300.1684210526316,0.2
64,0.00366,300.1684210526316,0.8
65,0.00366,326.39736842105265,0.2
66,0.00366,326.39736842105265,0.8
67,0.00366,352.62631578947367,0.2
68,0.00366,352.62631578947367,0.8
69,0.00366,378.85526315789474,0.2
70,0.00366,378.85526315789474,0.8
