,x,Q2
,mid,mid
1,0.015,1.259
2,0.015,1.995
3,0.015,3.162
4,0.015,5.012
5,0.015,7.943
6,0.045,1.259
7,0.045,1.995
8,0.045,3.162
9,0.045,5.012
10,0.045,7.943
11,0.045,12.589
12,0.045,19.952
13,0.08,1.995
14,0.08,3.162
15,0.08,5.012
16,0.08,7.943
17,0.08,12.589
18,0.08,19.952
19,0.08,31.622
20,0.125,3.162
21,0.125,5.012
22,0.125,7.943
23,0.125,12.589
24,0.125,19.952
25,0.125,31.622
26,0.125,50.118
27,0.175,3.162
28,0.175,5.012
29,0.175,7.943
30,0.175,12.589
31,0.175,19.952
32,0.175,31.622
33,0.175,50.118
34,0.225,5.012
35,0.225,7.943
36,0.225,12.589
37,0.225,19.952
38,0.225,31.622
39,0.225,50.118
40,0.225,79.432
41,0.275,5.012
42,0.275,7.943
43,0.275,12.589
44,0.275,19.952
45,0.275,31.622
46,0.275,50.118
47,0.275,79.432
48,0.35,7.943
49,0.35,12.589
50,0.35,19.952
51,0.35,31.622
52,0.35,50.118
53,0.35,79.432
54,0.45,7.943
55,0.45,12.589
56,0.45,19.952
57,0.45,31.622
58,0.45,50.118
59,0.45,79.432
60,0.45,125.89
61,0.55,12.589
62,0.55,19.952
63,0.55,31.622
64,0.55,50.118
65,0.55,79.432
66,0.55,125.89
67,0.65,12.589
68,0.65,19.952
69,0.65,31.622
70,0.65,50.118
71,0.65,79.432
72,0.65,125.89
73,0.75,19.952
74,0.75,31.622
75,0.75,50.118
