,data
0,4.464784420034488
1,3.938457883645937
2,4.880081490291916
3,4.3390591599779125
4,5.156291069701914
5,4.607420237250596
6,5.363266294098109
7,4.809174495569216
8,5.528869928107342
9,4.970788496757772
10,5.666995630114891
11,5.105571832131033
12,5.785591432537046
13,5.221182152925371
14,5.889585948511699
15,5.322404198325146
16,5.982232098420712
17,5.41241973213344
18,6.065836638169325
19,5.4934833763210005
20,6.14205734387169
21,5.567224146432077
22,6.2121088485098435
23,5.634852043742587
24,6.2769272623999175
25,5.697300119496914
26,6.337283501562259
27,5.755319371094452
28,6.393779513762334
29,5.809505593853468
30,6.446893249498815
31,5.860335774850654
32,6.497017745001932
33,5.908202814901928
34,6.544447704295551
35,5.953421097852772
36,6.589460009186349
37,5.996267052388192
38,6.632332509061432
39,6.0369929977952745
40,3.4482966389596537
41,3.0722414314739717
42,3.710291985519
43,3.332443121633035
44,3.881846765089697
45,3.503912759570745
46,4.008813108827146
47,3.6313064373659323
48,4.109274015614895
49,3.732375557783288
50,4.192193250783356
51,3.8159671798996158
52,4.2626836996569155
53,3.8871362366970947
54,4.3239388750459025
55,3.949038475856008
56,4.378070614848898
57,4.00376839880099
58,4.426563830589281
59,4.052796743425481
60,4.470480975171868
61,4.097183361356844
62,4.5106112580625695
63,4.137718795893601
64,4.547559487227946
65,4.175009829123815
66,4.5818013428930255
67,4.209533688670965
68,4.613717964210059
69,4.241672032800701
70,4.643610394466518
71,4.271730414987507
72,4.67172762746918
73,4.2999606891441395
74,4.698274862582883
75,4.326571626044142
76,4.7234211510472255
77,4.351737362094617
78,4.747313741658165
79,4.375607218139528
80,2.665575400443518
81,2.4070364200523646
82,2.8205101896673717
83,2.567199655029472
84,2.9201299456273033
85,2.670657268777205
86,2.9929478388036923
87,2.7464879248894962
88,3.050023603902997
89,2.806037191958232
90,3.0967808950179827
91,2.8548901074647635
92,3.1362732585154136
93,2.896197695066659
94,3.170384996625994
95,2.9319089951810056
96,3.200358289090669
97,2.963312451372907
98,3.227054273005742
99,2.991299727534376
100,3.251093514413331
101,3.0165153197737187
102,3.272937872923928
103,3.0394398354013545
104,3.292940158680642
105,3.060440510676165
106,3.3113748609851155
107,3.0798028453590236
108,3.3284598195892476
109,3.097753436759793
110,3.344371930321772
111,3.114476620637685
112,3.359256870357793
113,3.130123720983278
114,3.3732359686603903
115,3.1448204275888556
116,3.386411083918717
117,3.1586721499094033
118,3.3988681457509373
119,3.171767958774865
120,2.090589619864388
121,1.9222012316755877
122,2.1739731824616824
123,2.0133168870849976
124,2.2262335100487753
125,2.0705721115930746
126,2.2637678234504
127,2.1117584281698765
128,2.29279548950596
129,2.143645433789687
130,2.316321610470328
131,2.169510552682514
132,2.3360115007482025
133,2.191172429472259
134,2.3528853646540013
135,2.209746414366187
136,2.367614329808817
137,2.2259670661024846
138,2.3806515203207286
139,2.2403304051796664
140,2.392325547017072
141,2.253196466316534
142,2.402881258521148
143,2.2648337206252642
144,2.412504267980438
145,2.275445781597681
146,2.421336000955259
147,2.2851877923777053
148,2.4294876146755597
149,2.294181707094101
150,2.4370510074696874
151,2.3025284404364763
152,2.4441010374854693
153,2.3103102207508117
154,2.450699440279825
155,2.3175948808135405
156,2.4568976923136288
157,2.3244389955083267
158,2.4627391025230434
159,2.330890173809838
160,1.699377470777918
161,1.5971977744100714
162,1.735714674324609
163,1.6406965554006816
164,1.757426995292054
165,1.6667946351548097
166,1.7725003747540027
167,1.6849706995345972
168,1.7838511918367088
169,1.6986946197830906
170,1.792852821168322
171,1.70960307520423
172,1.800245477712116
173,1.7185804201814296
174,1.8064767037219824
175,1.7261616808069942
176,1.8118398823257702
177,1.7326974037681195
178,1.8165235405793343
179,1.7384143429457446
180,1.8206660838994628
181,1.74347850783176
182,1.824370978548524
183,1.7480138491043928
184,1.8277156236994916
185,1.7521132188477848
186,1.830756439670551
187,1.7558447380996343
188,1.8335368392030136
189,1.759260972742282
190,1.8360943569653754
191,1.7624070214545202
192,1.8384592830616628
193,1.765319315218461
194,1.8406563590337504
195,1.7680276441826022
196,1.8427060365821373
197,1.7705566574666352
198,1.8446253503960939
199,1.7729269114020345
200,1.4193849203548872
201,1.3617239194440487
202,1.424362915907887
203,1.3719308056003332
204,1.4261631526395864
205,1.3768169697798924
206,1.426822366624925
207,1.379609736989976
208,1.4269643505082203
209,1.3813571285347535
210,1.4268441653716268
211,1.382510948431876
212,1.4265768591808698
213,1.3832917950264214
214,1.426225397608635
215,1.3838258327119566
216,1.4258300157500607
217,1.3841941907236468
218,1.4254060418890457
219,1.3844390766739154
220,1.4249666739807323
221,1.3845930315662118
222,1.4245221817421043
223,1.3846806091106414
224,1.4240790919386395
225,1.3847190299616376
226,1.4236392925162253
227,1.3847181774185793
228,1.4232031310902291
229,1.3846846081391424
230,1.4227728876661008
231,1.3846257598726714
232,1.4223500677816099
233,1.3845473041429204
234,1.4219356374468246
235,1.3844536157749427
236,1.4215301858611908
237,1.384348105679677
238,1.4211340066055425
239,1.384233424608735
240,1.1493230261515133
241,1.1186148167921626
242,1.132714121427206
243,1.1054149746911552
244,1.1213681992440863
245,1.096003811046992
246,1.11277125787414
247,1.0887134494535662
248,1.1058627460419368
249,1.0827722148275123
250,1.1000969365017397
251,1.0777647541927728
252,1.0951533795225907
253,1.0734391330143482
254,1.0908301883076608
255,1.0696338951694313
256,1.086993241563499
257,1.0662408140976158
258,1.0835445279840792
259,1.063178626546664
260,1.0804140254229977
261,1.0603893076853212
262,1.077549683232464
263,1.0578296213402707
264,1.0749111890891176
265,1.0554658068782543
266,1.0724658909010516
267,1.0532700547783895
268,1.0701873944297238
269,1.0512197045167981
270,1.068055057193342
271,1.0492972276051902
272,1.0660518242254513
273,1.0474880725214968
274,1.0641634426277122
275,1.0457800259514447
276,1.0623778806685533
277,1.0441627377258322
278,1.0606848798448834
279,1.0426273485375313
280,0.8370175196635453
281,0.8217460916996867
282,0.8102789429355611
283,0.7971198476591712
284,0.7931253117926444
285,0.7811044034108522
286,0.7806204310962753
287,0.769344482048455
288,0.7708430724893659
289,0.760106865445321
290,0.7628502001518921
291,0.7525304400071632
292,0.7561122683596577
293,0.7461276253322169
294,0.7503022948914876
295,0.7405957133312036
296,0.7452041920697744
297,0.7357339220100858
298,0.7406698876412858
299,0.7314039342954869
300,0.7365920349491556
301,0.7275053191539876
302,0.7328905321575193
303,0.7239630100383119
304,0.7295043463970474
305,0.7207196842565418
306,0.7263864129247952
307,0.7177309935356299
308,0.7234995068287885
309,0.7149617914904037
310,0.7208131234353644
311,0.7123833022119255
312,0.7183023261651783
313,0.7099719711264473
314,0.715946480906683
315,0.7077082842542407
316,0.7137283284979365
317,0.705575901557904
318,0.7116333000759189
319,0.7035610155260352
320,0.5162914377354553
321,0.5095858189126284
322,0.4904716617278548
323,0.4849549348262384
324,0.4743829013705684
325,0.4694675257395793
326,0.4628754003680506
327,0.4583383223097622
328,0.45400305052316264
329,0.4497325071177095
330,0.4468284515433204
331,0.44275927234648976
332,0.4408349572966742
333,0.43692514598955057
334,0.4357064142308344
335,0.43192705828183786
336,0.43123442656344074
337,0.427564699698338
338,0.42728030169013065
339,0.4237044531715955
340,0.423742830478747
341,0.4202486543946246
342,0.4205463731617858
343,0.41712421254509197
344,0.41763373980669694
345,0.41427579566036316
346,0.414961863457803
347,0.4116616842009376
348,0.41249705999723524
349,0.4092492158560232
350,0.41021108241594256
351,0.4070109871692075
352,0.4080809613132962
353,0.4049246982954223
354,0.4060877826511603
355,0.4029719743331039
356,0.40421579989472345
357,0.4011375084677845
358,0.4024517879526193
359,0.3994084377994232
360,0.25226252517370557
361,0.24990588087137267
362,0.23415795034300513
363,0.23234038307303242
364,0.22323993930194835
365,0.22167663485155312
366,0.21559020497974615
367,0.21417976960805313
368,0.20977904364018193
369,0.20847284406949568
370,0.2051328825034329
371,0.2039034738162565
372,0.20128763595628116
373,0.20011778952424059
374,0.1980229498517257
375,0.19690105587762338
376,0.19519429832484306
377,0.19411214279064934
378,0.1927079160535724
379,0.19165938332207963
380,0.19049515587838436
381,0.18947557021563052
382,0.18850472895573187
383,0.18751043479480242
384,0.18669814665532766
385,0.18572622297471855
386,0.18504701746008945
387,0.18409507084834079
388,0.18352936699727646
389,0.1825954002431943
390,0.18212642419297695
391,0.18120876359002389
392,0.18082300109376373
393,0.17992022757578752
394,0.1796066515569982
395,0.1787175495252887
396,0.1784670591181701
397,0.17759057774234063
398,0.17739560098312435
399,0.17653082425529495
400,0.08611737269221863
401,0.08554882955452484
402,0.07723879153723852
403,0.07683738006617095
404,0.07216743144761979
405,0.07183877956348399
406,0.06872759780554866
407,0.06844048581137319
408,0.06617247024045392
409,0.0659126352120611
410,0.06416340687278142
411,0.06392308706209457
412,0.06252268524096372
413,0.06229714812312138
414,0.06114484467764283
415,0.06093097668453154
416,0.059961546820626356
417,0.059757188707173337
418,0.058929682794389454
419,0.05873325550670572
420,0.058017768211643055
421,0.057828082947353976
422,0.057202382860717806
423,0.05701852266162365
424,0.056466130104815195
425,0.056287371090831366
426,0.05579645531289542
427,0.05562221095910851
428,0.05518376449312844
429,0.055013550352039614
430,0.05461973583273013
431,0.05445314962283518
432,0.05409768061666605
433,0.05393438412123934
434,0.053612151527129295
435,0.053451857273105204
436,0.05315865933596895
437,0.05300112060954375
438,0.05273347420873245
439,0.0525784773980915
