index,data
1,0.559
2,0.633
3,0.69
4,0.758
5,0.857
6,0.922
7,0.971
8,1.086
9,1.167
10,1.067
11,-
12,-
13,-
14,0.834
15,0.889
16,0.968
17,1.074
18,1.159
19,1.233
20,1.286
21,1.329
22,1.511
23,1.54
24,-
25,-
26,-
27,1.03
28,1.065
29,1.102
30,1.165
31,1.252
32,1.298
33,1.33
34,1.387
35,1.42
36,1.481
37,1.606
38,-
39,-
40,1.048
41,1.1
42,1.122
43,1.157
44,1.191
45,1.236
46,1.299
47,1.278
48,1.32
49,1.269
50,1.342
51,-
52,-
53,1.015
54,1.066
55,1.071
56,1.081
57,1.103
58,1.117
59,1.136
60,1.154
61,1.122
62,1.173
63,1.135
64,-
65,-
66,0.964
67,0.945
68,0.966
69,0.969
70,0.974
71,0.984
72,0.991
73,0.974
74,0.993
75,1.001
76,0.924
77,0.925
78,-
79,0.859
80,0.844
81,0.873
82,0.832
83,0.84
84,0.849
85,0.827
86,0.833
87,0.8
88,0.793
89,0.803
90,0.8
91,0.822
92,0.687
93,0.672
94,0.649
95,0.65
96,0.628
97,0.631
98,0.612
99,0.612
100,0.609
101,0.588
102,0.564
103,0.558
104,0.573
105,0.478
106,0.445
107,0.428
108,0.409
109,0.394
110,0.379
111,0.367
112,0.364
113,0.35
114,0.334
115,0.329
116,0.321
117,0.307
118,0.292
119,0.281
120,0.248
121,0.231
122,0.217
123,0.206
124,0.197
125,0.186
126,0.175
127,0.172
128,0.161
129,0.154
130,0.157
131,0.167
132,0.149
133,0.128
134,0.111
135,0.097
136,0.095
137,0.087
138,0.082
139,0.073
140,0.069
141,0.065
142,0.075
143,0.068
