index,data
1,-
2,-
3,-
4,1.1273
5,0.9165
6,0.7936
7,1.1376
8,0.9862
9,0.76
10,1.1626
11,0.911
12,0.7457
13,0.8786
14,0.6731
15,0.5244
16,0.7396
17,0.6108
18,0.5453
19,0.7993
20,0.5965
21,0.3249
22,0.4526
23,0.3544
24,-
25,0.2753
26,0.2134
27,-
28,0.1702
29,0.0591
30,-
31,-
32,-
33,-
34,-
35,-
36,-
37,1.1752
38,1.0193
39,0.8847
40,0.6872
41,1.2987
42,1.2181
43,1.0214
44,0.9001
45,0.6775
46,1.2445
47,1.1367
48,0.9287
49,0.6791
50,0.5056
51,1.2272
52,0.9893
53,0.8287
54,0.5375
55,0.4208
56,0.9428
57,0.7665
58,0.6235
59,0.4509
60,0.3086
61,0.8701
62,0.587
63,0.4895
64,0.3425
65,0.6217
66,0.4947
67,0.3577
68,0.2885
69,0.341
70,0.3031
71,0.1961
72,-
73,0.2211
74,0.1509
75,0.1068
76,0.1078
77,0.0589
78,-
79,0.0449
80,0.0409
81,-
82,-
83,-
84,-
85,-
86,0.7036
87,1.2075
88,1.1516
89,1.0458
90,0.9662
91,0.8735
92,1.448
93,1.1844
94,1.0054
95,0.9432
96,0.7168
97,1.3648
98,1.1569
99,0.9213
100,0.7964
101,0.5847
102,1.192
103,0.9727
104,0.7795
105,0.5899
106,0.4297
107,1.035
108,0.7897
109,0.6044
110,0.4937
111,0.3491
112,0.8459
113,0.554
114,0.4979
115,0.3903
116,0.2769
117,0.589
118,0.4903
119,0.3609
120,0.2566
121,-
122,0.3917
123,0.2633
124,0.1792
125,0.1299
126,-
127,0.1872
128,0.1808
129,0.0838
130,0.1098
131,0.0625
132,0.0594
133,0.0398
134,0.0287
135,-
136,-
137,-
138,-
139,-
140,0.9833
141,0.816
142,0.696
143,-
144,1.3446
145,1.3431
146,1.1664
147,1.0367
148,0.8835
149,0.8031
150,1.4554
151,1.4916
152,1.3206
153,1.0966
154,0.9929
155,0.823
156,0.6992
157,1.4568
158,1.3384
159,1.1452
160,0.98
161,0.7817
162,0.6291
163,0.5258
164,1.342
165,1.1399
166,0.9847
167,0.7599
168,0.663
169,0.4237
170,0.3416
171,1.1903
172,0.9712
173,0.7818
174,0.6787
175,0.4944
176,0.3501
177,0.268
178,1.0553
179,0.8532
180,0.7259
181,0.4911
182,0.437
183,0.2837
184,0.8467
185,0.5835
186,0.4722
187,0.3504
188,0.2375
189,0.1274
190,0.5048
191,0.3323
192,0.2973
193,0.1807
194,0.1201
195,-
196,0.3146
197,0.1981
198,0.1514
199,0.0969
200,0.1686
201,0.0872
202,0.0628
203,0.0366
204,0.0671
205,0.0467
206,0.015
207,-
208,-
209,-
210,-
211,-
212,1.0726
213,0.9919
214,0.7892
215,-
216,1.3496
217,1.3097
218,1.1524
219,1.0721
220,0.9752
221,0.7663
222,1.4514
223,1.3644
224,1.3847
225,1.1148
226,0.9005
227,0.814
228,0.6703
229,1.5393
230,1.3249
231,1.1921
232,0.9127
233,0.7765
234,0.6306
235,0.4737
236,1.4455
237,1.1051
238,0.9417
239,0.7656
240,0.5917
241,0.4254
242,0.3822
243,1.2897
244,0.9826
245,0.7238
246,0.6245
247,0.4604
248,0.4082
249,0.2343
250,1.0929
251,0.816
252,0.6601
253,0.4848
254,0.3753
255,0.3052
256,0.8211
257,0.631
258,0.4197
259,0.3293
260,0.245
261,0.1432
262,0.5162
263,0.3705
264,0.2645
265,0.1717
266,0.1281
267,-
268,0.302
269,0.1756
270,0.1281
271,0.1088
272,0.0294
273,0.1194
274,0.0826
275,0.0512
