index,data
1,1.1583
2,1.3289
3,1.471
4,1.5734
5,1.6595
6,1.0961
7,1.2266
8,1.3472
9,1.4701
10,1.5155
11,1.5576
12,1.6926
13,1.0743
14,1.2174
15,1.3034
16,1.3591
17,1.3801
18,1.4311
19,1.428
20,1.5211
21,1.1506
22,1.2353
23,1.2542
24,1.2603
25,1.2902
26,1.2703
27,1.2622
28,1.3366
29,1.1247
30,1.1164
31,1.1446
32,1.1388
33,1.1141
34,1.0991
35,1.0531
36,1.0332
37,1.0227
38,0.9921
39,0.9835
40,0.9391
41,0.8998
42,0.8855
43,0.9057
44,0.8827
45,0.8731
46,0.8369
47,0.8185
48,0.7581
49,0.7413
50,0.6904
51,0.671
52,0.6312
53,0.592
54,0.5617
55,0.5367
56,0.4498
57,0.4254
58,0.3969
59,0.3615
60,0.3404
61,0.313
62,0.304
63,0.256
64,0.2259
65,0.2061
66,0.1764
67,0.1607
68,0.157
69,0.1361
70,0.1164
71,0.0989
72,0.0881
73,0.0802
74,0.0707
75,0.063
76,0.05
77,0.0387
78,0.0332
