index,data
1,0.559
2,0.633
3,0.69
4,0.74
5,0.868
6,0.926
7,0.985
8,1.057
9,1.159
10,1.26
11,1.314
12,1.455
13,1.711
14,0.835
15,0.89
16,0.963
17,1.043
18,1.142
19,1.219
20,1.284
21,1.281
22,1.446
23,1.401
24,1.477
25,1.491
26,1.388
27,1.031
28,1.067
29,1.104
30,1.159
31,1.22
32,1.299
33,1.332
34,1.354
35,1.408
36,1.44
37,1.44
38,1.483
39,1.481
40,1.05
41,1.102
42,1.125
43,1.136
44,1.178
45,1.241
46,1.29
47,1.259
48,1.3
49,1.293
50,1.286
51,1.255
52,1.31
53,1.017
54,1.069
55,1.075
56,1.071
57,1.092
58,1.139
59,1.132
60,1.131
61,1.146
62,1.149
63,1.118
64,1.102
65,1.019
66,0.967
67,0.949
68,0.971
69,0.974
70,0.979
71,0.988
72,0.994
73,0.977
74,0.994
75,0.987
76,0.954
77,0.942
78,0.938
79,0.862
80,0.847
81,0.877
82,0.838
83,0.845
84,0.853
85,0.83
86,0.836
87,0.804
88,0.796
89,0.805
90,0.802
91,0.824
92,0.69
93,0.675
94,0.654
95,0.655
96,0.633
97,0.634
98,0.615
99,0.614
100,0.612
101,0.591
102,0.567
103,0.56
104,0.574
105,0.48
106,0.448
107,0.431
108,0.413
109,0.397
110,0.381
111,0.37
112,0.366
113,0.352
114,0.335
115,0.33
116,0.322
117,0.308
118,0.294
119,0.283
120,0.25
121,0.234
122,0.22
123,0.207
124,0.198
125,0.187
126,0.176
127,0.173
128,0.162
129,0.155
130,0.157
