index,data
1,0.702
2,0.867
3,1.04
4,1.026
5,0.9
6,0.803
7,0.753
8,0.56
9,0.388
10,0.229
11,0.131
12,0.711
13,0.842
14,0.978
15,0.892
16,0.826
17,0.701
18,0.606
19,0.433
20,0.265
21,0.18
22,0.08
23,0.636
24,0.76
25,0.804
26,0.74
27,0.63
28,0.511
29,0.393
30,0.296
31,0.192
32,0.101
33,0.043
34,0.505
35,0.632
36,0.629
37,0.508
38,0.412
39,0.315
40,0.235
41,0.159
42,0.094
43,0.039
44,0.014
45,0.686
46,0.947
47,1.097
48,1.151
49,1.009
50,1.017
51,0.86
52,0.606
53,0.42
54,0.27
55,0.137
56,0.704
57,0.975
58,1.151
59,1.058
60,0.974
61,0.803
62,0.741
63,0.507
64,0.332
65,0.197
66,0.112
67,0.675
68,0.905
69,0.974
70,0.944
71,0.783
72,0.659
73,0.559
74,0.418
75,0.245
76,0.141
77,0.068
78,0.684
79,0.863
80,0.838
81,0.743
82,0.625
83,0.533
84,0.429
85,0.287
86,0.179
87,0.089
88,0.042
89,0.67
90,0.777
91,0.649
92,0.576
93,0.429
94,0.36
95,0.259
96,0.169
97,0.08
98,0.047
99,0.023
100,0.717
101,0.982
102,1.214
103,1.207
104,1.176
105,1.109
106,0.998
107,0.73
108,0.471
109,0.342
110,0.192
111,0.785
112,1.02
113,1.22
114,1.191
115,1.087
116,0.97
117,0.863
118,0.66
119,0.429
120,0.248
121,0.147
122,0.856
123,1.047
124,1.15
125,1.134
126,1.01
127,0.845
128,0.75
129,0.562
130,0.325
131,0.2
132,0.103
133,0.8
134,1.02
135,1.024
136,0.969
137,0.843
138,0.694
139,0.585
140,0.436
141,0.249
142,0.129
143,0.065
144,0.818
145,0.97
146,0.915
147,0.73
148,0.636
149,0.535
150,0.392
151,0.296
152,0.154
153,0.088
154,0.044
155,0.777
156,0.882
157,0.743
158,0.63
159,0.475
160,0.371
161,0.259
162,0.183
163,0.096
164,0.049
165,0.022
166,0.815
167,1.161
168,1.306
169,1.28
170,1.275
171,1.218
172,0.99
173,0.88
174,0.543
175,0.357
176,0.17
177,0.929
178,1.166
179,1.321
180,1.321
181,1.27
182,1.056
183,0.945
184,0.686
185,0.483
186,0.286
187,0.141
188,0.906
189,1.169
190,1.338
191,1.159
192,1.063
193,0.968
194,0.849
195,0.624
196,0.421
197,0.237
198,0.092
199,0.924
