index,data
1,0.2607
2,0.3062
3,0.2361
4,0.2954
5,0.6817
6,0.6191
7,0.5812
8,0.5493
9,0.7399
10,0.6497
11,0.7043
12,0.7671
13,0.6416
14,0.7038
15,0.7736
16,0.7226
17,0.6479
18,0.8022
19,0.8675
20,0.8833
21,0.7477
22,0.8543
23,0.6474
24,0.8935
25,0.8743
26,0.7912
27,0.7872
28,0.8152
29,0.5914
30,0.8203
31,0.8276
32,0.8127
33,0.9035
34,0.7945
35,0.822
36,0.7666
37,0.7839
38,0.7432
39,0.7593
40,0.6137
41,0.6838
42,0.6378
43,0.5701
44,0.586
45,0.5045
46,0.532
47,0.4721
48,0.3237
49,0.3949
50,0.4001
51,0.3501
52,0.297
53,0.2836
54,0.2162
55,0.2296
56,0.1746
57,0.1637
58,0.1516
59,0.204
60,0.1384
61,0.1081
62,0.0719
63,0.0464
64,0.0725
65,0.2607
66,0.3062
67,0.2361
68,0.2954
69,0.6817
70,0.6191
71,0.5812
72,0.5493
73,0.7399
74,0.6497
75,0.7043
76,0.7671
77,0.6416
78,0.7038
79,0.7736
80,0.7226
81,0.6479
82,0.8022
83,0.8675
84,0.8833
85,0.7477
86,0.8543
87,0.6474
88,0.8935
89,0.8743
90,0.7912
91,0.7872
92,0.8152
93,0.5914
94,0.8203
95,0.8276
96,0.8127
97,0.9035
98,0.7945
99,0.822
100,0.7666
101,0.7839
102,0.7432
103,0.7593
104,0.6137
105,0.6838
106,0.6378
107,0.5701
108,0.586
109,0.5045
110,0.532
111,0.4721
112,0.3237
113,0.3949
114,0.4001
115,0.3501
116,0.297
117,0.2836
118,0.2162
119,0.2296
120,0.1746
121,0.1637
122,0.1516
123,0.204
124,0.1384
125,0.1081
126,0.0719
127,0.0464
128,0.0725
