index,data
1,0.1799
2,0.2182
3,0.2634
4,0.3262
5,0.3026
6,0.3755
7,0.4007
8,0.4655
9,0.4829
10,0.4908
11,0.54
12,0.5729
13,0.5362
14,0.6031
15,0.6596
16,0.6441
17,0.6651
18,0.679
19,0.7531
20,0.641
21,0.698
22,0.7373
23,0.7687
24,0.7677
25,0.7634
26,0.8024
27,0.6167
28,0.7514
29,0.771
30,0.8087
31,0.7962
32,0.7608
33,0.7853
34,0.7818
35,0.7667
36,0.76
37,0.7871
38,0.7413
39,0.7149
40,0.6968
41,0.6842
42,0.7264
43,0.7057
44,0.6791
45,0.6812
46,0.6387
47,0.648
48,0.5658
49,0.5789
50,0.5721
51,0.5355
52,0.5144
53,0.5018
54,0.405
55,0.3878
56,0.3787
57,0.3489
58,0.3187
59,0.2965
60,0.2913
61,0.2435
62,0.2219
63,0.2097
64,0.1801
65,0.1635
66,0.1341
67,0.125
68,0.1252
69,0.1158
70,0.0844
71,0.0713
72,0.0702
73,0.0501
74,0.0379
75,0.0338
