index,data
1,0.733
2,1.29
3,1.553
4,1.599
5,1.426
6,1.464
7,1.317
8,1.063
9,0.773
10,0.468
11,0.279
12,0.771
13,1.156
14,1.541
15,1.611
16,1.698
17,1.434
18,1.297
19,1.091
20,0.673
21,0.472
22,0.266
23,0.873
24,1.283
25,1.462
26,1.635
27,1.537
28,1.459
29,1.409
30,0.991
31,0.713
32,0.406
33,0.221
34,0.856
35,1.268
36,1.564
37,1.531
38,1.525
39,1.409
40,1.219
41,1.002
42,0.627
43,0.372
44,0.175
45,0.792
46,1.125
47,1.521
48,1.597
49,1.575
50,1.502
51,1.339
52,1.084
53,0.775
54,0.466
55,0.257
56,0.813
57,1.351
58,1.505
59,1.644
60,1.562
61,1.388
62,1.253
63,1.053
64,0.714
65,0.435
66,0.253
67,0.868
68,1.277
69,1.506
70,1.615
71,1.643
72,1.514
73,1.388
74,1.052
75,0.673
76,0.398
77,0.215
78,0.985
79,1.437
80,1.589
81,1.668
82,1.59
83,1.454
84,1.266
85,1.073
86,0.641
87,0.411
88,0.193
89,1.055
90,1.399
91,1.559
92,1.602
93,1.557
94,1.536
95,1.295
96,0.961
97,0.615
98,0.378
99,0.167
100,0.858
101,1.336
102,1.585
103,1.604
104,1.587
105,1.45
106,1.418
107,1.144
108,0.696
109,0.48
110,0.253
111,0.973
112,1.177
113,1.568
114,1.756
115,1.586
116,1.499
117,1.342
118,1.011
119,0.671
120,0.479
121,0.244
122,1.013
123,1.315
124,1.623
125,1.664
126,1.716
127,1.418
128,1.437
129,0.985
130,0.664
131,0.385
132,0.209
133,1.086
134,1.494
135,1.654
136,1.642
137,1.574
138,1.528
139,1.347
140,1.027
141,0.657
142,0.377
143,0.191
144,1.144
145,1.525
146,1.621
147,1.684
148,1.648
149,1.466
150,1.282
151,0.946
152,0.661
153,0.32
154,0.14
155,1.19
156,1.517
157,1.779
158,1.76
159,1.782
160,1.562
161,1.423
162,0.998
163,0.634
164,0.324
165,0.148
166,0.858
167,1.352
168,1.785
169,1.696
170,1.746
171,1.629
172,1.256
173,1.088
174,0.845
175,0.451
176,0.282
177,1.059
178,1.487
179,1.562
180,1.507
181,1.749
182,1.449
183,1.501
184,1.052
185,0.748
186,0.411
187,0.218
188,1.021
189,1.423
190,1.449
191,1.667
192,1.614
193,1.611
194,1.464
195,1.036
196,0.683
197,0.371
198,0.187
199,1.028
200,1.435
201,1.676
202,1.734
203,1.688
204,1.57
205,1.266
206,1.009
207,0.637
208,0.364
209,0.177
210,1.11
211,1.53
212,1.784
213,1.738
214,1.611
215,1.505
216,1.254
217,0.991
218,0.642
219,0.345
220,0.148
221,1.081
222,1.54
223,1.853
224,1.695
225,1.736
226,1.516
227,1.303
228,0.977
229,0.624
230,0.341
231,0.157
232,1.244
233,1.583
234,1.772
235,1.798
236,1.61
237,1.519
238,1.308
239,0.92
240,0.575
241,0.328
242,0.131
243,0.967
244,1.503
245,1.629
246,1.734
247,1.598
248,1.757
249,1.525
250,1.108
251,0.757
252,0.405
253,-
254,1.128
255,1.598
256,1.582
257,1.709
258,1.656
259,1.615
260,1.211
261,1.122
262,0.797
263,0.451
264,-
265,1.029
266,1.727
267,1.934
268,1.754
269,1.712
270,1.593
271,1.303
272,1.063
273,0.684
274,0.43
275,-
276,1.019
277,1.725
278,1.752
279,1.88
280,1.73
281,1.729
282,1.47
283,1.036
284,0.703
285,0.416
286,0.176
287,1.272
288,1.837
289,1.915
290,1.781
291,1.756
292,1.485
293,1.408
294,1.046
295,0.598
296,0.372
297,0.158
298,1.257
299,1.849
300,1.749
301,1.86
302,1.669
303,1.38
304,1.288
305,0.964
306,0.575
307,0.332
308,0.144
309,1.24
310,1.702
311,1.801
312,1.89
313,1.744
314,1.528
315,1.251
316,0.961
317,0.565
318,0.312
319,0.134
320,1.212
321,1.51
322,1.717
323,1.704
324,1.566
325,1.447
326,1.214
327,0.951
328,0.601
329,0.306
330,0.134
331,1.245
332,1.709
333,1.768
334,1.731
335,1.691
336,1.47
337,1.16
338,-
339,-
340,-
341,0.097
342,1.244
343,1.386
344,1.941
345,1.66
346,1.842
347,1.465
348,1.447
349,1.042
350,0.664
351,0.389
352,0.305
353,1.168
354,1.602
355,1.655
356,1.739
357,1.752
358,1.608
359,1.424
360,1.055
361,0.726
362,0.424
363,0.207
364,1.175
365,1.711
366,1.761
367,1.885
368,1.705
369,1.409
370,1.27
371,0.947
372,0.628
373,0.398
374,0.238
375,1.066
376,1.719
377,1.712
378,1.771
379,1.71
380,1.441
381,1.364
382,0.981
383,0.741
384,0.338
385,0.201
386,1.231
387,1.713
388,2.026
389,1.845
390,1.651
391,1.394
392,1.308
