index,data
1,-
2,-
3,0.153
4,0.158
5,0.208
6,0.242
7,0.321
8,0.348
9,-
10,-
11,-
12,-
13,-
14,-
15,-
16,-
17,-
18,-
19,-
20,-
21,0.447
22,0.551
23,0.629
24,0.571
25,0.721
26,1.047
27,0.814
28,-
29,-
30,-
31,-
32,-
33,-
34,-
35,-
36,-
37,0.723
38,0.705
39,0.73
40,0.76
41,0.668
42,0.601
43,0.766
44,0.865
45,0.946
46,-
47,-
48,-
49,-
50,-
51,-
52,-
53,-
54,0.571
55,0.584
56,0.566
57,0.646
58,0.749
59,0.896
60,0.913
61,1.021
62,0.832
63,-
64,-
65,-
66,-
67,-
68,-
69,-
70,-
71,0.703
72,0.747
73,0.771
74,0.835
75,0.785
76,0.913
77,0.916
78,0.852
79,-
80,-
81,-
82,-
83,-
84,-
85,-
86,-
87,-
88,0.739
89,0.785
90,0.752
91,0.74
92,0.639
93,0.766
94,0.746
95,0.693
96,-
97,-
98,-
99,-
100,-
101,-
102,-
103,-0.676
104,-
105,0.526
106,0.525
107,0.45
108,0.473
109,0.507
110,0.542
111,0.514
112,0.453
113,-
114,-
115,-
116,-
117,-
118,-
119,-
120,-
121,0.364
122,0.33
123,0.313
124,0.306
125,0.305
126,0.286
127,0.266
128,0.226
129,-
130,-
131,-
132,-
133,-
134,-
135,-
136,-
137,0.331
138,0.232
139,0.189
140,0.179
141,0.198
142,0.162
143,0.117
144,0.117
145,-
146,-
147,-
148,-
149,-
150,-
151,-
152,-
153,0.079
154,0.042
155,0.029
156,0.048
157,0.032
158,0.028
159,0.015
160,0.011
