index,data
1,0.294
2,0.233
3,0.287
4,0.326
5,0.406
6,-
7,-
8,-
9,-
10,-
11,-
12,-
13,-
14,-
15,-
16,-
17,-
18,0.268
19,0.289
20,0.411
21,0.442
22,-
23,-
24,-
25,-
26,-
27,-
28,-
29,-
30,-
31,-
32,-
33,0.244
34,0.259
35,0.323
36,0.353
37,0.313
38,-
39,-
40,-
41,-
42,-
43,-
44,-
45,-
46,-
47,-
48,0.195
49,0.157
50,0.186
51,0.23
52,0.188
53,-
54,-
55,-
56,-
57,-
58,-
59,-
60,-
61,-
62,-
63,0.1
64,0.117
65,0.139
66,0.141
67,0.094
68,-
69,-
70,-
71,-
72,-
73,-
74,-
75,-
76,-
77,-
78,0.069
79,0.081
80,0.074
81,0.09
82,0.076
83,-
84,-
85,-
86,-
87,-
88,-
89,-
90,-
91,-
92,0.022
93,0.017
94,0.011
95,0.017
96,0.019
97,0.0
98,0.009
99,-
100,-
101,-
102,-
103,-
104,-
105,-
106,0.002
107,0.003
108,0.0
109,0.001
110,0.004
111,0.008
112,0.008
