,data
0,4.951851163490037
1,2.9352725518984184
2,6.3124386378572375
3,3.7511319475815865
4,6.863902298695314
5,4.093462419299331
6,7.193350004747813
7,4.300105203103546
8,7.417291258341221
9,4.441450886852516
10,7.579409784078002
11,4.544285068861398
12,7.70090819936313
13,4.621751551592808
14,7.793872536540697
15,4.68132526681644
16,7.865724148801569
17,4.727581652376079
18,7.9213929351374555
19,4.7636057650305235
20,7.964327670005974
21,4.791560623331307
22,7.996982298181383
23,4.812988620649245
24,8.021131128689214
25,4.829010713308087
26,8.03820836522503
27,4.840525047112813
28,8.049330290667383
29,4.848242338996481
30,8.055370070716455
31,4.85272074596877
32,8.057026975682389
33,4.854408012127824
34,8.054853032243756
35,4.853667499939983
36,8.04929708969986
37,4.850796820858946
38,8.040832630095284
39,4.846069374030998
40,4.019435720237167
41,2.3788678441500255
42,4.896705605977371
43,2.9205097072407047
44,5.237111678686513
45,3.1375411477308726
46,5.433532676563377
47,3.2641601512365823
48,5.562262560834636
49,3.347989606503265
50,5.651757568989651
51,3.406903513523125
52,5.715758204563276
53,3.4495905165176355
54,5.7619743610936425
55,3.4809264127660153
56,5.79517927095075
57,3.503891847732764
58,5.818484702706951
59,3.520474805454759
60,5.8340609669826105
61,3.532061110613729
62,5.843436278757328
63,3.539632343786665
64,5.847727576576632
65,3.5439023078664458
66,5.84780303885751
67,3.5454331583032728
68,5.844363434333534
69,3.5446743762047697
70,5.837954010959336
71,3.541977842076617
72,5.829016455718879
73,3.537627247377812
74,5.817911072521554
75,3.5318549498786216
76,5.804931338418396
77,3.5248514994316866
78,5.790332069154726
79,3.516776469115506
80,3.225262128557238
81,1.8763751712804837
82,3.7513157125468126
83,2.2112906135567147
84,3.9431968086251943
85,2.337051922566753
86,4.048193172565981
87,2.4068205378357495
88,4.113184792708556
89,2.4507191736568066
90,4.155333003658813
91,2.4798047023730763
92,4.182828303275649
93,2.4993787466349664
94,4.200195005335337
95,2.5123711171133394
96,4.210180386071593
97,2.5205487753409037
98,4.214593839069002
99,2.5250903578324277
100,4.214682333309521
101,2.526808384879075
102,4.211336850303797
103,2.5262801329266185
104,4.2052096981269775
105,2.5239235253100407
106,4.196799782366883
107,2.5200651846441886
108,4.186506800628591
109,2.5149636274336813
110,4.17464259970139
111,2.5088213910278183
112,4.161451507342229
113,2.501799740609707
114,4.147136758687042
115,2.494030970531657
116,4.131884114143393
117,2.4856290267023744
118,4.115829084689662
119,2.4766814407179236
120,2.559474221856457
121,1.4178677810834948
122,2.8444896763467478
123,1.6020746025043118
124,2.9378869750454624
125,1.6643059917130925
126,2.983811051883223
127,1.6957603114845854
128,3.00852752748206
129,1.7134727407787735
130,3.021397899977199
131,1.7235045681064232
132,3.0268212807253008
133,1.7287085426282363
134,3.027180814368461
135,1.7306287416354644
136,3.0239122185549885
137,1.7301865424826022
138,3.0179529927998434
139,1.7279909893847722
140,3.009938909868556
141,1.7244552808674791
142,3.0003233958950735
143,1.719871793836745
144,2.989435784472004
145,1.714449918153802
146,2.9775287778227226
147,1.7083532632554126
148,2.9647947090663194
149,1.701707201126244
150,2.9513858858881443
151,1.6946106019979004
152,2.9374265843650242
153,1.6871436557680923
154,2.923015509462774
155,1.6793703220105471
156,2.908235145016191
157,1.6713437309852504
158,2.89314977159988
159,1.66310482831535
160,2.0276896473868677
161,1.0023652729974866
162,2.1546316937700687
163,1.0831865424683365
164,2.1866643776693464
165,1.1050423254779997
166,2.1970809931484205
167,1.1133577260867453
168,2.19835230245265
169,1.11596958389997
170,2.194726552918639
171,1.115529836011859
172,2.188146981277918
173,1.1132487776038076
174,2.179631036122712
175,1.1097586418134378
176,2.1697820141144155
177,1.1054296773055319
178,2.158988351334883
179,1.1005029340571446
180,2.1475057236023893
181,1.0951371891636839
182,2.13551564485331
183,1.0894439769326016
184,2.123147169644282
185,1.0835013621719094
186,2.1104987522316874
187,1.0773700540593232
188,2.0976418267183905
189,1.0710945877949427
190,2.084633479789383
191,1.064710305722423
192,2.0715208904058295
193,1.058246147669461
194,2.0583401051623986
195,1.0517243957575875
196,2.0451215418985136
197,1.0451636907773338
198,2.0318865490641946
199,1.0385770496430575
200,1.6435254005422009
201,0.6678912390125501
202,1.6699632517233964
203,0.685768638690062
204,1.6652024806927104
205,0.6854296380936014
206,1.6552057798746624
207,0.681966949240784
208,1.6435132335226523
209,0.6774745806235841
210,1.6311386925022164
211,0.6725499746266721
212,1.6184936734956918
213,0.6674350947494995
214,1.6057586445670582
215,0.6622373329675865
216,1.5930299589123982
217,0.6570134391757314
218,1.5803646335412753
219,0.6517975875284243
220,1.5677921591139459
221,0.6466081334710986
222,1.5553322815144286
223,0.6414571869792912
224,1.5429957622740809
225,0.6363514707931693
226,1.530790375990376
227,0.6312960814014137
228,1.5187180405446938
229,0.6262929677800215
230,1.5067807373015443
231,0.6213438621612398
232,1.494980604437048
233,0.6164503860204786
234,1.4833176908420544
235,0.6116130452738365
236,1.4717922514017312
237,0.6068323436460124
238,1.460401707793824
239,0.6021072965551366
240,1.3591113085349213
241,0.41553419688414867
242,1.3112447020623654
243,0.4005334227138173
244,1.2828384202388052
245,0.39109482047757244
246,1.26068077144929
247,0.3837347304692733
248,1.2417776611819598
249,0.37750153566399464
250,1.2248983742960184
251,0.3719787331229852
252,1.209422043329428
253,0.3669503937494229
254,1.194984864079803
255,0.3622884881647109
256,1.1813568794015021
257,0.35791153457206853
258,1.1683851691273706
259,0.3537648710163472
260,1.155960077772179
261,0.3498092554687972
262,1.1440015409940891
263,0.34601597697233366
264,1.1324481526646808
265,0.3423630829367591
266,1.1212528355332165
267,0.3388336483913233
268,1.110377302812073
269,0.3354139565321211
270,1.0997911070810555
271,0.3320930822226641
272,1.0894693897367402
273,0.3288620868155162
274,1.0793912336431286
275,0.32571348127726846
276,1.069539040608346
277,0.3226409590895134
278,1.059897100713009
279,0.3196389663980388
280,1.0498552325068922
281,0.2148061023615451
282,0.9665438435062311
283,0.2013787973916141
284,0.9290772871750093
285,0.19412721578213818
286,0.9033266666461772
287,0.18894012137611366
288,0.8830708033423245
289,0.18479278229198973
290,0.8660153760161481
291,0.18127139124607816
292,0.8510623585596234
293,0.17816884254120305
294,0.8376045696706529
295,0.17536798524671302
296,0.8252685571676415
297,0.172795449548324
298,0.8138101547475498
299,0.17040258984207407
300,0.8030610426186667
301,0.1681556677660175
302,0.7928992898756981
303,0.16603002308873333
304,0.783233922909209
305,0.16400718879918333
306,0.7739954522762704
307,0.16207295596594268
308,0.7651299784551386
309,0.16021631687286086
310,0.7565943102332385
311,0.1584283913609913
312,0.7483528401146581
313,0.1567018127656852
314,0.7403766216562118
315,0.1550305970562611
316,0.7326411496324606
317,0.1534096543105577
318,0.7251261910936717
319,0.15183481972467852
320,0.7232007690237
321,0.09251307071756758
322,0.6372113981506697
323,0.09436672042314137
324,0.6017643427039336
325,0.09229283711751225
326,0.5787014044248336
327,0.09036593124215651
328,0.5612895943663335
329,0.08867050674227198
330,0.5471039732966422
331,0.08715772864759207
332,0.5349992357260179
333,0.08578437556364198
334,0.5243528206049731
335,0.08451965227780334
336,0.5147851758143352
337,0.08334165642377193
338,0.5060493822532967
339,0.08223465331553614
340,0.4979775549753583
341,0.0811870186777908
342,0.49044843955633266
343,0.08018990470292006
344,0.4833725227479778
345,0.07923644330992914
346,0.47668148231294993
347,0.07832121246844481
348,0.4703232981320979
349,0.07743987142827789
350,0.4642561500454624
351,0.07658887764550089
352,0.45844541746997397
353,0.07576526068083887
354,0.4528633484546467
355,0.07496656101646643
356,0.4474863805933979
357,0.07419067055220156
358,0.44229572660475996
359,0.07343581490649233
360,0.42341252776161237
361,0.05096908913403377
362,0.3533731629839323
363,0.05956043654729981
364,0.3266970335989888
365,0.059087488566804965
366,0.31011414579159735
367,0.05808342558334473
368,0.2980087748977422
369,0.05706411243801383
370,0.2884102563357379
371,0.05610288632279405
372,0.2804020656412343
373,0.05520673824167863
374,0.27349429095214994
375,0.05436937090941032
376,0.2673907870238442
377,0.053583115824077585
378,0.2619002653725769
379,0.05284094262599557
380,0.2568943252175613
381,0.05213678538935135
382,0.252280460816189
383,0.051465796560138506
384,0.247990931328184
385,0.050824032254317614
386,0.2439741920488011
387,0.050208219795725074
388,0.24019167493675198
389,0.049615548931193125
390,0.23661226352101167
391,0.049043739750592306
392,0.23321008986552938
393,0.048490887567638315
394,0.22996466970834395
395,0.047955362702121127
396,0.22685855139574937
397,0.04743577463926087
398,0.22387823115772823
399,0.04693089275564773
400,0.20122228960713542
401,0.04731667176552044
402,0.15430535369189988
403,0.047811532139404325
404,0.13852996269952084
405,0.045297489631694214
406,0.12925741493170553
407,0.04336344512890894
408,0.12273704556994294
409,0.04183217558513886
410,0.11771285058687424
411,0.04056582554748414
412,0.11361668606791397
413,0.03948242876607471
414,0.11015225175209674
415,0.03853256970904097
416,0.10714264414349632
417,0.03768392988478627
418,0.10447511838859644
419,0.03691451008397875
420,0.10207527183840766
421,0.03620898989781123
422,0.0998896727938539
423,0.03555598875873138
424,0.09787949990765668
425,0.03494698480262241
426,0.09601543879490086
427,0.034375367056438476
428,0.09427603517073889
429,0.03383612302957688
430,0.09264389285370471
431,0.03332515248273957
432,0.09110447568903735
433,0.03283899898374082
434,0.08964643509829105
435,0.032374906243753394
436,0.08826005873091829
437,0.031930500989811476
438,0.0869380695788796
439,0.03150394140723156
440,0.07195806559334432
441,0.033418317535256696
442,0.04615182276174004
443,0.024529365067634888
444,0.039244395905875785
445,0.02140502854702938
446,0.035545149786449994
447,0.019629033168401113
448,0.0330893632735521
449,0.01841395686106462
450,0.03127412268924918
451,0.017498296495029517
452,0.029841086633291575
453,0.016765377327196837
454,0.02866091353610637
455,0.016155236233958137
456,0.02765842751731834
457,0.015632464246012404
458,0.02678687559480977
459,0.015174701617063593
460,0.026016152463617572
461,0.014767362029562867
462,0.02532487928281424
463,0.014400030997646923
464,0.024697723207219323
465,0.014065200396710316
466,0.024123266530750042
467,0.013757230058950555
468,0.02359336355954567
469,0.01347204462381041
470,0.023101405645939654
471,0.013206340240510796
472,0.022641868909335363
473,0.012957357505353387
474,0.022210509387903574
475,0.012722960227471679
476,0.021803691817944837
477,0.012501320690406992
478,0.02141877945256711
479,0.012291095504585183
