,x,Q2,y
,mid,mid,mid
1,0.015,0.19,0.2784639333792972
2,0.015,0.25,0.3426587702989413
3,0.015,0.33,0.41316644986858153
4,0.015,0.43,0.5122319522515016
5,0.015,0.56,0.511236181548635
6,0.015,0.72,0.5082067855270699
7,0.015,0.94,0.5355987733889985
8,0.015,1.22,0.5757895350258335
9,0.015,1.59,0.7112469593170198
10,0.015,2.06,0.75212054251502
11,0.015,2.68,0.8008743082189616
12,0.015,3.48,0.8356481048871883
13,0.015,4.53,0.8703287003898015
14,0.045,0.58,0.2735566125942271
15,0.045,0.76,0.34080559150301476
16,0.045,0.99,0.4103391523819824
17,0.045,1.28,0.5121383707066529
18,0.045,1.67,0.51814741204856
19,0.045,2.17,0.5211242864959368
20,0.045,2.82,0.5420828709663235
21,0.045,3.66,0.5774345995149167
22,0.045,4.76,0.7060282987111466
23,0.045,6.19,0.7598023319943606
24,0.045,8.04,0.7991148645110255
25,0.045,10.45,0.827971229029266
26,0.045,13.59,0.870271970357118
27,0.08,1.04,0.2735257202879578
28,0.08,1.35,0.33337453466927075
29,0.08,1.75,0.41165725375639606
30,0.08,2.28,0.5069752177067178
31,0.08,2.96,0.5249036579735091
32,0.08,3.85,0.5171173066222553
33,0.08,5.01,0.5364322798494396
34,0.08,6.51,0.5722775586277
35,0.08,8.46,0.7046483426278143
36,0.08,11.0,0.7477525020170561
37,0.08,14.3,0.790539336318929
38,0.08,18.59,0.8273540115981834
39,0.08,24.16,0.87020580293642
40,0.125,1.62,0.27100263646552036
41,0.125,2.11,0.3314353186490841
42,0.125,2.74,0.4045710582145022
43,0.125,3.56,0.5047990854821204
44,0.125,4.63,0.5199162062391277
45,0.125,6.02,0.521946014385795
46,0.125,7.82,0.5382300110336384
47,0.125,10.17,0.570492670194494
48,0.125,13.22,0.6993421114046634
49,0.125,17.18,0.7446233352412946
50,0.125,22.34,0.7870174966901515
51,0.125,29.04,0.8256235638758684
52,0.125,37.75,0.8701207584011932
53,0.175,2.27,0.27831298648643854
54,0.175,2.95,0.32947640166509506
55,0.175,3.83,0.4072962718538289
56,0.175,4.98,0.499499280503667
57,0.175,6.48,0.5138601826402628
58,0.175,8.42,0.5099446963630775
59,0.175,10.95,0.5381466503601088
60,0.175,14.24,0.5704146040725582
61,0.175,18.51,0.6880281450835964
62,0.175,24.06,0.7439006693600019
63,0.175,31.28,0.7874784613252972
64,0.175,40.66,0.8260690307591575
65,0.175,52.86,0.8700263637425327
66,0.225,2.92,0.2684045344960508
67,0.225,3.79,0.3331872216670426
68,0.225,4.93,0.4057974185561731
69,0.225,6.41,0.5034808246757094
70,0.225,8.33,0.5046569907090567
71,0.225,10.83,0.5118653636294576
72,0.225,14.08,0.5352545137350756
73,0.225,18.3,0.5660232039730986
74,0.225,23.79,0.6905655589356765
75,0.225,30.93,0.7407485836694517
76,0.225,40.21,0.7781873151321907
77,0.225,52.27,0.8248753350945092
78,0.225,67.96,0.8699319451763396
79,0.275,3.56,0.2733508507048002
80,0.275,4.63,0.33312260330665194
81,0.275,6.03,0.4014502969701101
82,0.275,7.83,0.4971354670673202
83,0.275,10.18,0.5055636723578217
84,0.275,13.24,0.5077425416988209
85,0.275,17.21,0.5351726941968509
86,0.275,22.37,0.5711150192994839
87,0.275,29.08,0.6989773249218802
88,0.275,37.81,0.7508919848299346
89,0.275,49.15,0.7803861266628773
90,0.275,63.89,0.8137838022586649
91,0.275,83.06,0.8698375652254988
92,0.35,4.54,0.2708075313420972
93,0.35,5.9,0.3254291706880076
94,0.35,7.67,0.4013145091832779
95,0.35,9.97,0.48955567880385675
96,0.35,12.96,0.5114445440653803
97,0.35,16.85,0.5146269583281025
98,0.35,21.9,0.5406390232796046
99,0.35,28.47,0.5640965508722776
100,0.35,37.01,0.6024102426783962
101,0.35,48.12,0.7306645937222432
102,0.35,62.55,0.7830946315253848
103,0.35,81.32,0.8158476524450001
104,0.35,105.7,0.8702201789123162
105,0.45,5.83,0.2682146183384483
106,0.45,7.58,0.33289751811536356
107,0.45,9.86,0.39682363814504096
108,0.45,12.82,0.49560433972814827
109,0.45,16.66,0.5041466161652698
110,0.45,21.66,0.506417440834967
111,0.45,28.16,0.5395451520286445
112,0.45,36.61,0.5604528691963662
113,0.45,47.59,0.6069950016116037
114,0.45,61.86,0.7390170809675886
115,0.45,80.42,0.7643447450888501
116,0.45,104.5,0.8271461216052366
117,0.45,135.9,0.8700312218309734
118,0.55,7.13,0.2681307793899917
119,0.55,9.27,0.3232556324008242
120,0.55,12.05,0.3995266148590047
121,0.55,15.66,0.4782360926151511
122,0.55,20.36,0.49567864852007903
123,0.55,26.47,0.5172116786153167
124,0.55,34.42,0.5300090898486042
125,0.55,44.74,0.564663725884157
126,0.55,58.16,0.6029121521513495
127,0.55,75.61,0.7240387265770525
128,0.55,98.29,0.7670712224213415
129,0.55,127.8,0.817110798816153
130,0.55,166.1,0.8698424193365936
